text,labels
"4. Зона евро вошла в рецессию в первом квартале 2023 года Евростат
",4. Финансы
"5. Евростат сообщил, что еврозона вошла в рецессию в первом квартале 2023 года.
",5. Финансы
"6. Что делать предпринимателю, если он получил предостережение? Полезная информация для владельцев бизнеса в видео от Минэкономразвития Крым 24 tvcrimea24
",6. Образовательный контент
"7. Соучредитель Terraform Labs TFL До Квон может быть приговорен к нескольким тюремным срокам в США и Южной Корее, заявил возглавляющий расследование южнокорейский прокурор Дэн Сунхан
",7. Технологии
"8. Владимир Зеленский посетил Херсон 18 НАСТОЯЩИЙ МАТЕРИАЛ ИНФОРМАЦИЯ ПРОИЗВЕДЕН, РАСПРОСТРАНЕН И ИЛИ НАПРАВЛЕН ИНОСТРАННЫМ АГЕНТОМ ПИВОВАРОВЫМ АЛЕКСЕЕМ ВЛАДИМИРОВИЧЕМ ЛИБО КАСАЕТСЯ ДЕЯТЕЛЬНОСТИ ИНОСТРАННОГО АГЕНТА ПИВОВАРОВА АЛЕКСЕЯ ВЛАДИМИРОВИЧА Президент Украины провел в городе координационное совещание по ликвидации последствий разрушения Каховской ГЭС и осмотрел лодочную переправу в затопленном районе
",8. Политика
"9. 1776 Публикуем запрос от редакции издания Al Mayadeen и ответ
",9. Политика
"10. Николай Патрушев у США не получится доминировать в мире.
",10. Политика
"11. Около 100 миллионов человек в США в среду получили предупреждения о низком качестве воздуха изза пожаров в Канаде данные Агентства по защите окружающей среды
",11. Общее
"12. Глава МИД Украины Кулеба назвал эксведущего Fox News Такера Карлсона негодяем и украинофобом изза того, что журналист заявил об ответственности Киева за разрушение Каховской ГЭС. каховскаягэс
",12. Политика
"13. Иран добавил по меньшей мере 15 теплоходов к своему торговому морскому флоту в Каспийском море.
",13. Общее
"14. ВСУ начали своё наступление и Россия должна с ним справиться, Пригожин
",14. Политика
"15. Власти Крыма компенсируют ущерб рисоводческим предприятиям изза возможного обмеления СевероКрымского канала
",15. Общее
"16. Консолидированный бюджет РФ в январеапреле 2023 года, по предварительной оценке, исполнен с дефицитом 1 трлн 734,9 млрд рублей, Федеральное казначейство.
",16. Финансы
"17. Вода в СевероКрымском канале будет Найдено решение установить насосы в Херсонской области
",17. Общее
"18. В России научили нейросеть готовить кровь для анализа
",18. Технологии
"19. Вы социально недоразвитые эксглава таможни, генсек Ассамблеи народов Евразии высказался об айтишниках
",19. Общее
"20. Зона евро вошла в рецессию в первом квартале 2023 года Евростат. banksta
",20. Финансы
"1. Глава Минпросвещения России Сергей Кравцов __Мы не заменяем очное традиционное обучение дистанционным образованием, мы считаем, что дистанционные, информационные технологии в поддержку будут традиционной системе образования и вот этот ресурс Российская электронная школа, он активно используется многими странами, мы готовы здесь делиться опытом и дополнять и вашими электронными ресурсами, чтобы у нас был действительно такой обмен опытом для учителей.__
",1. Образовательный контент
"2. Крым после катастрофы на Каховской ГЭС активно закачивает в водохранилища воду из СевероКрымского канала, который будет постепенно мелеть, сообщил глава региона Аксенов
",2. Общее
"3. Как мы уже говорили, о том, что операция началась, можно будет говорить только после первых реальных успехов
",3. Общее
"4. Уровень воды в СевероКрымском канале остается стабильным после прорыва плотины Каховской ГЭС Reuters со ссылкой на главу Крыма Сергея Аксенова. каховскаягэс
",4. Общее
"5. Сократить до трех дней период отключения горячей воды летом невозможно, считают опрошенные РИА Новости эксперты
",5. Общее
"6. Скоро все прямые и непрямые стороны конфликтаhttpst.merusbrief124282 начнут готовить к его неминуемой пролонгации своё население. Как минимум, перспектива завершения боевых действий до 2024 года крайне туманна. Учитывая значимые электоральные процессы в ряде стран, стороны могут договориться о краткосрочной заморозке крайне невыгодно для всех, временной паузе или недолгой деэскалации самый предпочтительный вариант. Гарник Туманянhttpst.mePolitologTumanian344
",6. Политика
"7. httpshooks
",7. Общее
"8. Прорабатываются альтернативные варианты наполнения СевероКрымского канала СКК водой из Днепра после разрушения Каховской ГЭС в Херсонской области, сообщил глава Крыма Сергей Аксенов
",8. Общее
"9. Мантуров доступа РФ к поврежденной частиhttpst.merusbrief124142 аммиакопровода ТольяттиОдесса нет и не предвидится.
",9. Общее
"10. Инсайд
",10. Общее
"11. Дым от лесных пожаров в Канаде накрыл северовосток США, власти НьюЙорка призвали жителей не выходить на улицы
",11. Общее
"12. Глава МВД РФ Колокольцев сообщил, что участниками спецоперации на Украине стали около 15 тыс. российских полицейских.
",12. Политика
"13. У производителей и распространителей фейков и пропаганды скоро появится новый замечательный инструментhttpst
",13. Технологии
"14. Сопровождающего детей в популярном детском лагере Артек подозревают в развратных действиях
",14. Общее
"15. IALECTIChttpt
",15. Общее
"16. Специалисты МУП Водоканал приступили к строительству и реконструкции наружных сетей водоснабжения и водоотведения в деревне ШояКузнецово
",16. Общее
"17. Потрясание основ японское министерство обороны планирует отменить запрет на службу в Силах самообороны людей, имеющих татуировки
",17. Политика
"18. Контрнаступление Украины началось Пригожин
",18. Политика
"19. Politico Ведутся разговоры об отправке истребителей F18 на Украину вместе с F16, на которых они сейчас проходят обучение
",19. Политика
"20. Половина месячной нормы осадков выпала во Владивостоке за 12 часов более 52 мм
",20. Общее
"1. Добро пожаловать в ад НьюЙорк продолжает утопать в дыму изза лесных пожаров в Канаде
",1. Общее
"2. Офис Президента отказался публиковать видео по визуальному контролю Каховской ГЭС, а вместо этого решили сделать акцент на физическом контроле
",2. Политика
"3. ЕС подает в суд на Польшу изза закона о создании комиссии по изучению влияния России. banksta
",3. Политика
"4. Пушилин ВСУ пытаются найти уязвимости в обороне Бахмута Артёмовска, но ситуация вполне контролируемая
",4. Политика
"5. Вот сейчас доделаю всю операционку, а потом займусь стратегическими задачами, думают топменеджеры
",5. Общее
"6. Концерт группы Ночные снайперы не будет проходить в рамках фестиваля Динотерра в Кузбассе. Сообщение от организаторов фестиваля опубликовала лидер группы Диана Арбенина в своем Telegramканале. Ранее несколькоhttpst.merusbrief107605 концертных площадок в разных городах России отменили выступления Арбениной.
",6. Шоубиз
"7. На Украине заявили о прекращении судоходства по Днепру ниже ДнепроГЭС, сообщил глава администрации судоходства страны Евгений Игнатенко.
",7. Общее
"8. На Украине заявили о прекращении судоходства по Днепру ниже ДнепроГЭС, сообщил глава администрации судоходства страны Евгений Игнатенко.
",8. Общее
"9. httpshooks
",9. Общее
"10. Враг наступает на Запорожском фронте тяжелый бой на позициях героическойhttpst
",10. Общее
"11. По поводу бесцеремонно и грубоhttpst.merusbrief124298, наверное, верно, но следовало бы уточнить, что именно имеется виду и как надо вежливо и нежно. Также стоит заметить, что всю систему начального образования вообщето придумал Иоганн Генрих Песталоцци. Он был из Швейцарии. Георгий Бовтhttpst.mebovtznaet1271
",11. Образовательный контент
"12. Politico Украина стремится получить гарантии безопасности от НАТО и западных держав, но дискуссии по этому вопросу все еще продолжаются
",12. Политика
"13. Через деньдва здесь уже некого будет спасать волонтер назвал ситуацию в районе затопленной Каховской ГЭС критической
",13. Общее
"14. Уровень преступности в сельских районах Британии вырос изза конфликта на Украине, сообщила газета Telegraph со ссылкой на главу национального подразделения по борьбе с преступностью в сельской местности Энди Хаддлстона.
",14. Общее
"15. Генпрокуратура России признала нежелательной в РФ деятельность американской религиозной организации Завет церквей TCCN, направляющей собранные с граждан пожертвования на поддержку Вооруженных сил Украины ВСУ.
",15. Политика
"16. Перенос прямой линии президентаhttpst.merusbrief124317 на ноябрь декабрь несет в себе в том числе и позитивный сигнал о том, что к концу года не будет хуже, чем сейчас, а с высокой долей вероятности сложатся даже и более благоприятные условия для диалога власти со страной. Вообще в нынешней обстановке любое такое изменение графика статусных мероприятий с их переносом на потом используется и для подъема оптимистических настроений среди тех, кто ждет и надеется. Мастер пераhttpst.memaster_pera11832
",16. Политика
"17. В британской полиции связали рост числа краж сельхозоборудования на территории Англии и Уэльса с антироссийскими санкциями
",17. Общее
"18. Вот тут живут люди
",18. Общее
"19. Neue Zürcher Zeitung Раздражает то, что западные правительственные чиновники и эксперты преждевременно делают вывод о том, что Россия взорвала Каховскую ГЭС, и говорят о террористическом акте. Имеющиеся данные не подтверждают такой вывод. Безусловно, у российской армии достаточно беспощадности и ресурсов, чтобы совершить такое военное преступление Тем не менее, вместо целенаправленного взрыва более вероятен другой ход событий обрушение в районе шлюза под давлением рекордно высокого уровня воды и в результате систематической халатности операторов электростанции. briefsmi каховскаягэс
",19. Политика
"20. Как отличить бедного от богатого?
",20. Общее
"1. Четыре человека пострадали при обстреле Луганска, им оказывается необходимая помощь, заявил Пасечник
",1. Политика
"2. В Крыму наградили соцработников республики в честь профессионального праздника
",2. Общее
"3. Издательский дом Новые отраслевые медиа собрал лучшие отраслевые Телеграмканалы, которые помогут Вам быть в курсе всех важных профессиональных новостей
",3. Образовательный контент
"4. Двадцать чиновников Минфина Ингушетии, из которых 5 руководителей территориальных финансовых управлений, уличили в сокрытии доходов, прокуратура.
",4. Финансы
"5. Россия признательна белорусским друзьям за помилование Софьи Сапеги, заявил Песков
",5. Политика
"6. Игорь Стрелков пожалуй, теперь можно достоверно сказать ,что наступление ВСУ началось 56 суток назад. Началось с вспомогательного удара западнее Угледара на Волновахском направлении. Одновременно начаты атаки демонстрации с тактическими целями на Донецком фронте в районе ВодяноеОпытное, предпринимаются тактические атаки в районе Бахмута. Ну и позавчера начато наступление на главном направлении в районе Орехова на Мелитополь. На сегодняшний день вспомогательные атаки ВСУ ни к каким результатам ,кроме больших потерь, не привели.
",6. Политика
"7. Путин и Лукашенко встретятся завтра в России, анонсировал Песков
",7. Политика
"8. Путин высоко оценивает работу Собянина на посту мэра Москвы, поддержка со стороны президента на выборах пройдут в сентябре очевидна, заявил Песков
",8. Политика
"9. Аренда складов в регионах дорожает изза нехватки площадей. Минимальные объемы нового строительства складов в регионах России привели к снижению доли не занятых арендаторами площадей и росту арендных ставок. В первые месяцы 2023 года в эксплуатацию было введено 154 тыс. кв. м складской недвижимости, что стало наименьшим показателем с 2011 года, когда за аналогичный период объем ввода составил 109 тыс. кв. м.
",9. Финансы
"10. Песков Россия признательна белорусским друзьям за помилование Софьи Сапеги.
",10. Политика
"11. Песков у Путина пока нет планов проведения совещания в Херсонской области после разрушения Каховской ГЭС. каховскаягэс
",11. Общее
"12. Каждый раз, когда тема заходит о трудовой миграцииhttpst.merusbrief124130, находится ктото с доводом скажите спасибо, что в Россию ктото соглашается приезжать. Для понимания до начала СВО Россия занимала второе место в мире по количеству привлекаемых мигрантов. После СВО опустилась на четвёртое. В Россию прямо сейчас соглашается приезжать больше мигрантов, чем в Великобританию или Францию. Не буду называть это проблемой, назову это острым вопросом, требующим адекватного регулирования. Антон Любичhttpst.melubiczonline7257
",12. Общее
"13. Песков на вопрос о подготовке Кремля к президентским выборам есть определенные сроки, не будем забегать вперед.
",13. Политика
"14. Встреча Путина и Лукашенко состоится в пятницу в России, заявил Песков
",14. Политика
"15. Допрос пленного командира взвода 2го батальона 31й омбр ВСУ. Взят в плен подразделениями ВВО на Запорожском направлении в ходе неудачной попытки украинского наступления. Рассказывает много интересного. voin_dv
",15. Общее
"16. В ЙошкарОле в период с 9 по 11 июня будут перекрыты два участка улицы Йывана Кырли
",16. Общее
"17. Песков РФ неизвестно, какие разрушения получил аммиакопровод Тольятти Одесса, и что Украина собирается дальше делать с этой веткой.
",17. Политика
"18. Песков подрыв аммиакопровода Тольятти Одесса усложняет ситуацию с зерновой сделкой.
",18. Политика
"19. У Владимира Путина сейчас нет в планах поездки в Херсонскую область Песков
",19. Политика
"20. Песков Путин высоко оценивает результаты работы Собянина, поддержка президента на выборах мэра очевидна.
",20. Политика
"1. Подрыв на аммиакопроводе Тольятти Одесса это очередной момент, весьма усложняющий ситуацию вокруг зерновой сделки, заявили в Кремле.
",1. Политика
"2. Песков Кремль потихоньку готовится к прямой линии с Путиным, сообщит о ее сроках своевременно
",2. Политика
"3. Neue Zürcher Zeitung Утверждения о том, что русские или украинцы имели военный интерес в уничтожении плотины Каховской ГЭС, неубедительны. Более полугода так называемый Херсонский фронт был лишь второстепенным. Днепр оказался слишком большим препятствием для продвижения украинцев на юг более крупными частями. Этот регион всегда играл второстепенную роль в предположениях об украинском контрнаступлении. Так что не было никакого резона России затоплять низовья Днепра. Это также было бы парадоксальным ходом, поскольку поймы в основном находятся на территории, контролируемой русскими, а оборонительные позиции с километрами траншей теперь превращаются в бесполезные болота. Наоборот, эта зона бедствия также непроходима для украинцев для механизированного наступления. briefsmi каховскаягэс
",3. Политика
"4. У Владимира Путина сейчас нет в планах поездки в Херсонскую область, сообщил Дмитрий Песков
",4. Политика
"5. Вакансии для джунов на Хабр Карьере
",5. Образовательный контент
"6. Песков прозрачного расследования по взрывам на Северных потоках не проводится, во всей этой ситуации дело нечисто.
",6. Политика
"7. Спутниковые снимки последствий затопления Херсонской области
",7. Общее
"8. Судя по динамике событий и нарастающей вседозволенности высказываний, в том числе в официальных СМИ, элиты уже не смотрят на В.В. Путинаhttpst.merusbrief124308 как на следующего президента страны. Андрей Прошаковhttpst.meempty_clear_bottles2443
",8. Политика
"9. Путин высоко оценивает работу Собянина на посту мэра Москвы, поддержка со стороны президента на выборах пройдут в сентябре очевидна, заявил Песков.
",9. Политика
"10. Песков российское государство и предприниматели РФ были ограблены Западом.
",10. Политика
"11. Инсайд
",11. Общее
"12. Из мира животных
",12. Общее
"13. 8 июня в 1900 КиевМСК Binance US удалит 10 торговых торговых пар из раздела расширенной торговли, а также приостановит внебиржевую торговлю
",13. Финансы
"14. Теперь у партнёровhttpst.merusbrief124240 два варианта перестать жечь свои резервы в лобовых атаках, отползти и перегруппироваться по сути свернуть наступление в самом его начале или всётаки попытаться пользуясь созданным значительным превосходством в числе людей и линейных подразделений сначала продавить фронт, а потом попытаться его прорвать. Предполагаю, что начатые атаки враг не остановит, планы на ходу менять не будет и нас ждёт длительное кровавое сражение. Игорь Стрелковhttpst.mestrelkovii5318
",14. Политика
"15. Песков спасатели в окрестностях пострадавшей Каховской ГЭС работают самоотверженно, доклады о их действиях постоянно поступают Путину. каховскаягэс
",15. Общее
"16. Враг нанёс удар по центру Горловки, снаряды взорвались на рынке, где были люди
",16. Общее
"17. Какая прямая линияhttpst.merusbrief124289?! Нет ни одной темы, где можно задать удобный вопрос ни по внешней политике, ни по внутренней. В России, похоже, даже пропагандисты в шоке от происходящего. Но выборы, скорее всего, будут. pulsdonahttpst.mepulsdona8665
",17. Политика
"18. Neue Zürcher Zeitung Имеется также целый ряд указаний на тезис о непреднамеренном прорыве плотины Каховской ГЭС для разрушения понадобилось бы огромное количество взрывчатки, но ни картины взрыва не всплыло, ни оглушительного удара, как можно было бы ожидать от такой детонации. Местные жители сообщали о шуме по ночам, но их описания больше соответствуют реву вырвавшихся на волю потоков воды. На спутниковых снимках видно, что за несколько дней до аварии часть дороги исчезла за плотиной в том месте, где она позже прорвалась. Вероятно, его смыла вода из водохранилища, начавшая переливаться через плотину в конце мая. Таким образом, структурное повреждение плотины в результате опасно высокого уровня воды представляется правдоподобным объяснением. briefsmi каховскаягэс
",18. Общее
"19. Не менее девяти человек, в том числе восемь маленьких детей, пострадали в четверг от нападения с ножом в городе Анси в департаменте Верхняя Савойя, сообщают французские СМИ
",19. Общее
"20. туризм Россия
",20. Путешествия/релокация
"1. Хагиваги отдыхает жуткого Чебурашку пригласили на детский праздник в Ульяновской области
",1. Общее
"2. А на Прямой линии с Президентом в декабре жалобыhttpst.merusbrief124209 будут бесплатными? newizvestyahttpst.menewizvestya10996
",2. Политика
"3. ВСУ обстреливают электроподстанцию в Корсунке под Новой Каховкой, поблизости в нескольких местах загорелся лес
",3. Политика
"4. Ещё кадры отражения украинского наступления на Запорожском направлении. У одного из танков ВСУ эпично детонирует боекомплект. negumanitarnaya_pomosch_Z
",4. Политика
"5. В ЙошкарОле учащиеся Академии Яндекса в Волгатехе завершили учебный год, разработав полезные интерфейсные приложения и ботыпомощники, которые решают образовательные задачи
",5. Технологии
"6. Боец ЧВК Вагнер показал большую коллекцию трофейных шевронов и наград украинских боевиков и иностранных наёмников
",6. Политика
"7. Четыре человека пострадали при обстреле Луганска, им оказывается необходимая помощь, заявил глава ЛНР Пасечник
",7. Политика
"8. Мэр Горловки сообщает о шести раненых мирных жителях в центре города
",8. Политика
"9. США находится в самом начале долгового кризиса, предупредил миллиардер Рэй Далио
",9. Финансы
"10. Испанский военный эксперт, многолетнее нахождение которого в Испании ничуть ранее не смущало всю эту грязь, ставит под сомнение данные кадры и просит видео
",10. Общее
"11. Публикуем запрос от редакции издания РИА ЕвропейскоАзиатские Новости и ответ
",11. Общее
"12. Только две вещи вместе смогут вытащить страну из алкогольнойhttpst.merusbrief123985 предопределённости 1 Новый смысл, который сильнее, чем бесперспективность хождения по кругу домработадом, который легко заменяется домалкашкадом. 2 Все россияне должны понимать, что делать, когда в их семье появился человек с зависимостью. Сейчас по этому вопросу, к сожалению, мрак и хаос в головах и людей, и властей. Андрей Шалимовhttpst.meshalimovprav738
",12. Общее
"13. В Краснояружском районе два населенных пункта подверглись атаке ВСУ с помощью дроновкамикадзе. В результате нападения БПЛА в селе Вязовое есть один пострадавший, власти Белгородской области.
",13. Политика
"14. ВСУ атаковали Краснояружский район Белгородской области дронамикамикадзе, один человек пострадал, сообщил губернатор Гладков
",14. Политика
"15. Один раненый в результате атаки беспилотника в Белгородской области
",15. Политика
"16. Агентство Эксперт РА подтвердил высокий рейтинг кредитоспособности компаний ПИК специализированный застройщик и ПИККорпорация, которые получили оценку ruA, что является лучшим показателем во всей отрасли
",16. Финансы
"17. Neue Zürcher Zeitung Урок после повреждения плотины Каховской ГЭС прим. BRIEF должен состоять в том, чтобы настаивать на соблюдении минимальных стандартов безопасности на таких промышленных предприятиях, несмотря на войну. Прошлой осенью правительство Украины тщетно просило о международном мониторинге Каховской плотины. Если бы мир государств решительно потребовал этого, нынешнюю катастрофу, возможно, можно было бы предотвратить. На этом фоне актуализировалось давнее требование о создании демилитаризованной зоны международного контроля вокруг Запорожской АЭС. Потому что та игра с огнем, которую Россия ведет там, игнорируя правила техники безопасности и размещая военную технику на территории АЭС, может рано или поздно спровоцировать еще большую катастрофу. briefsmi каховскаягэс
",17. Политика
"18. Критических ситуаций, связанных с водоснабжением Крыма, нет
",18. Общее
"19. Украинские войска обстреляли пункт эвакуации гражданских лиц в Голой Пристани, погибли два человека, в том числе беременная женщина, сообщил херсонский губернатор Сальдо
",19. Политика
"20. Сегодня отмечается Международный день домохозяйки. Поздравь свою посудомойку
",20. Общее
"1. Житель Белгородской области пострадал от атаки украинских дроновкамикадзе, когда пас скот
",1. Общее
"2. Крым давно научился выживать без СевероКрымского канала
",2. Общее
"3. Тина Канделаки давала показания по делу админов телеграмканалов Проект Сканер и Riddle
",3. Шоубиз
"4. В Армении, Казахстане, Узбекистане и Таджикистане начали официально работать представители финансовой разведки Минфина США и прикомандирование от посольства США агенты ФБР
",4. Политика
"5. Парадоксальным образом перемириеhttpst.merusbrief123933 на условиях статус кво ныне скорее в пользу Москвы. А вот окончательный мир на таких же условиях в пользу противника. В первом случае Москва получает вненатовость, обширный кусок Новороссии и открытый опцион колл на дальнейшие действия. Во втором, просто кусок земель вокруг Азовского моря. Даже не все свои конституционные территории. vmitskevhttpst.mevmitskev2037
",5. Политика
"6. АвтоВАЗ представил новую модель автомобиля Lada Vesta Aura, которая является удлиненной версией Lada Vesta, сообщил глава автопроизводителя Максим Соколов
",6. Технологии
"7. Объяснительная модель СВО, где и Россия и Украина лишь прокси в большой гибридной войне Запада с Китаем интересна тем, что адресат ее находится не в России. Это может означать, что ресурсы прямого диалога полностью исчерпаны и надежда остаётся только на диалог бенефициаров США и Китаяhttpst.merusbrief124313. Сергей Старовойтовhttpst.messtarovoytov672
",7. Политика
"8. Брифинг пресссекретаря президента России Дмитрия Пескова
",8. Политика
"9. Брифинг пресссекретаря президента РФ Дмитрия Пескова
",9. Политика
"10. Два человека, в том числе беременная женщина, погибли при обстреле ВСУ пункта эвакуации в Голой Пристани, сообщил врио губернатора Херсонской области Владимир Сальдо
",10. Политика
"11. Контрнаступление набирает обороты, Украина тестирует российскую оборону вдоль тысячекилометровой линии фронта The Economist
",11. Политика
"12. Бюрократия в России порождает коррупцию, потому что власть так устроена Пригожин
",12. Общее
"13. Крым будет закачивать воду в водохранилища из СевероКрымского канала
",13. Общее
"14. Горьковский автозавод ПАО ГАЗ в начале следующего лета может представить первую серийную модель автомобиля под брендом Волга, сообщил вицепремьер, глава Минпромторга РФ Денис Мантуров
",14. Технологии
"15. Наиболее значимыми достижениями России за последние 1015 лет граждане считают воссоединение с Крымом и другими новыми регионами 11, благоустройство городов 9, развитие производства и сх 8, показал опрос ВЦИОМ
",15. Общее
"16. Сам факт проведения прямой линии httpst.merusbrief124220уже позитивный сигнал к осени ситуация должна стабилизироваться. Проводить линию раньше рискованно, позже сложно. Период подобран ювелирно. Гарник Туманянhttpst.mePolitologTumanian345
",16. Политика
"17. Май2023 стал в мире вторым самым теплым за всю историю наблюдений теплее было только в 2016, в России же погода была около нормы, рассказал Вильфанд
",17. Общее
"18. Вопрос к самым упоротым хохлам
",18. Общее
"19. Источник одного из российских телеканалов рассказал, что недавно на совещании в Кремле у заместителя руководителя администрации Путина Алексея Громова руководители телеканалов и ведущие журналисты пожаловались на постоянное запаздывание с информацией.httpst.methekremlinru246 По их мнению, российские власти сильно перестраховываются, а журналисты боятся проявлять самостоятельность за страх увольнения. Как им объяснили в Кремле,сложно найти компромисс между ведомствами. Кроме того, существует несколько информационных центров,которые трудно уживаются. У Громова свои связи с Минобороныиногда ему удается проконсультироваться с Путиным и Вайно. У ответственных за внутреннюю политику Кириенко создана координационная группа и собственный контакт с Путиным. У Пескова отдельный контакт с главой администрации.
",19. Политика
"20. Запорожское направление, Работино Вербовое, противник несет потери, отлично отработали наши Аллигаторы, уничтожили противника вместе с техникой
",20. Общее
"1. В чем секрет успеха китайского автопрома? Почему КНР удается так легко увеличивать поставки машин за рубеж?
",1. Финансы
"2. Абсолютно пустое дело и скотство иноагент Понасенков заявил, что у полиции нет к нему претензий после потасовки с неизвестным в центре Москвы
",2. Политика
